Area,Date,Discharged,Fatal,Hosp_require,Hosp_severe,Positive,Tested,Vaccinated_1st,Vaccinated_2nd
Nagano,2020-04-09,3,0,,,21,841,,
Gifu,2020-04-09,5,1,,,76,1110,,
Shizuoka,2020-04-09,3,0,,,16,1389,,
Aichi,2020-04-09,53,21,,,299,3467,,
Mie,2020-04-09,5,0,,,15,861,,
Shiga,2020-04-09,3,0,,,26,453,,
Kyoto,2020-04-09,29,1,,,159,1867,,
Osaka,2020-04-09,118,6,,,589,1792,,
Hyogo,2020-04-09,58,12,,,273,3496,,
Nara,2020-04-09,8,0,,,34,509,,
Wakayama,2020-04-09,15,1,,,32,1756,,
Tottori,2020-04-09,0,0,,,0,277,,
Shimane,2020-04-09,0,0,,,1,191,,
Okayama,2020-04-09,0,0,,,16,564,,
Hiroshima,2020-04-09,3,0,,,25,1638,,
Yamaguchi,2020-04-09,3,0,,,17,528,,
Tokushima,2020-04-09,1,0,,,3,217,,
Kagawa,2020-04-09,0,0,,,3,441,,
Ehime,2020-04-09,4,1,,,26,485,,
Kochi,2020-04-09,12,0,,,47,709,,
Fukuoka,2020-04-09,7,0,,,187,3873,,
Saga,2020-04-09,1,0,,,11,334,,
Nagasaki,2020-04-09,2,0,,,14,880,,
Kumamoto,2020-04-09,4,0,,,23,1639,,
Oita,2020-04-09,10,0,,,41,2035,,
Miyazaki,2020-04-09,3,0,,,16,545,,
Kagoshima,2020-04-09,0,0,,,3,483,,
Okinawa,2020-04-09,3,0,,,42,619,,
Hokkaido,2020-04-10,148,11,,,239,2690,,
Aomori,2020-04-10,3,0,,,14,313,,
Iwate,2020-04-10,0,0,,,0,136,,
Miyagi,2020-04-10,1,0,,,37,660,,
Akita,2020-04-10,5,0,,,12,491,,
Yamagata,2020-04-10,0,0,,,27,782,,
Fukushima,2020-04-10,3,0,,,36,541,,
Ibaraki,2020-04-10,7,3,,,82,2221,,
Tochigi,2020-04-10,5,0,,,31,1003,,
Gunma,2020-04-10,5,1,,,35,1490,,
Saitama,2020-04-10,25,5,,,325,1973,,
Chiba,2020-04-10,37,2,,,375,1691,,
Tokyo,2020-04-10,57,19,,,1717,5660,,
Kanagawa,2020-04-10,44,6,,,425,2600,,
Niigata,2020-04-10,24,0,,,41,1587,,
Toyama,2020-04-10,0,0,,,23,639,,
Ishikawa,2020-04-10,5,0,,,92,562,,
Fukui,2020-04-10,6,2,,,76,511,,
Yamanashi,2020-04-10,2,0,,,27,1013,,
Nagano,2020-04-10,3,0,,,28,892,,
Gifu,2020-04-10,5,1,,,82,1182,,
Shizuoka,2020-04-10,3,0,,,34,1426,,
Aichi,2020-04-10,63,22,,,313,3990,,
Mie,2020-04-10,5,0,,,15,906,,
Shiga,2020-04-10,3,0,,,34,487,,
Kyoto,2020-04-10,29,1,,,168,1968,,
Osaka,2020-04-10,121,6,,,697,2133,,
Hyogo,2020-04-10,59,12,,,316,3691,,
Nara,2020-04-10,8,0,,,37,523,,
Wakayama,2020-04-10,15,1,,,33,1877,,
Tottori,2020-04-10,0,0,,,1,299,,
Shimane,2020-04-10,0,0,,,2,205,,
Okayama,2020-04-10,1,0,,,16,595,,
Hiroshima,2020-04-10,3,0,,,25,1714,,
Yamaguchi,2020-04-10,3,0,,,17,557,,
Tokushima,2020-04-10,1,0,,,3,228,,
Kagawa,2020-04-10,0,0,,,4,480,,
Ehime,2020-04-10,4,1,,,28,545,,
Kochi,2020-04-10,12,0,,,52,781,,
Fukuoka,2020-04-10,7,0,,,224,4109,,
Saga,2020-04-10,1,0,,,12,356,,
Nagasaki,2020-04-10,2,0,,,14,933,,
Kumamoto,2020-04-10,4,1,,,23,1693,,
Oita,2020-04-10,10,0,,,42,2070,,
Miyazaki,2020-04-10,3,0,,,16,585,,
Kagoshima,2020-04-10,0,0,,,3,523,,
Okinawa,2020-04-10,3,0,,,49,680,,
Hokkaido,2020-04-11,158,11,,,255,2836,,
Aomori,2020-04-11,3,0,,,22,313,,
Iwate,2020-04-11,0,0,,,0,136,,
Miyagi,2020-04-11,1,0,,,46,660,,
Akita,2020-04-11,5,0,,,13,491,,
Yamagata,2020-04-11,0,0,,,32,782,,
Fukushima,2020-04-11,3,0,,,37,541,,
Ibaraki,2020-04-11,8,3,,,91,2221,,
Tochigi,2020-04-11,5,0,,,32,1003,,
Gunma,2020-04-11,5,2,,,79,1495,,
Saitama,2020-04-11,25,5,,,345,2216,,
Chiba,2020-04-11,38,4,,,411,1743,,
Tokyo,2020-04-11,57,19,,,1914,5660,,
Kanagawa,2020-04-11,44,6,,,465,2604,,
Niigata,2020-04-11,24,0,,,41,1587,,
Toyama,2020-04-11,0,0,,,23,646,,
Ishikawa,2020-04-11,5,0,,,104,562,,
Fukui,2020-04-11,6,2,,,86,515,,
Yamanashi,2020-04-11,2,0,,,32,1013,,
Nagano,2020-04-11,3,0,,,28,899,,
Gifu,2020-04-11,5,1,,,91,1185,,
Shizuoka,2020-04-11,3,0,,,39,1426,,
Aichi,2020-04-11,63,22,,,340,3990,,
Mie,2020-04-11,5,0,,,17,906,,
Shiga,2020-04-11,3,0,,,38,487,,
Kyoto,2020-04-11,33,1,,,181,1968,,
Osaka,2020-04-11,121,6,,,767,2362,,
Hyogo,2020-04-11,59,13,,,358,3830,,
Nara,2020-04-11,8,0,,,39,539,,
Wakayama,2020-04-11,17,1,,,33,1989,,
Tottori,2020-04-11,0,0,,,1,299,,
Shimane,2020-04-11,0,0,,,6,205,,
Okayama,2020-04-11,1,0,,,16,595,,
Hiroshima,2020-04-11,3,0,,,31,1754,,
Yamaguchi,2020-04-11,3,0,,,19,557,,
Tokushima,2020-04-11,3,0,,,3,228,,
Kagawa,2020-04-11,1,0,,,4,480,,
Ehime,2020-04-11,4,1,,,30,545,,
Kochi,2020-04-11,13,0,,,54,814,,
Fukuoka,2020-04-11,7,0,,,332,4137,,
Saga,2020-04-11,1,0,,,12,367,,
Nagasaki,2020-04-11,2,0,,,14,933,,
Kumamoto,2020-04-11,4,1,,,23,1728,,
Oita,2020-04-11,10,0,,,42,2070,,
Miyazaki,2020-04-11,3,0,,,17,612,,
Kagoshima,2020-04-11,0,0,,,4,523,,
Okinawa,2020-04-11,3,0,,,49,680,,
Hokkaido,2020-04-12,158,11,,,267,2836,,
Aomori,2020-04-12,3,0,,,22,313,,
Iwate,2020-04-12,0,0,,,0,136,,
Miyagi,2020-04-12,2,0,,,52,660,,
Akita,2020-04-12,5,0,,,15,491,,
Yamagata,2020-04-12,0,0,,,34,782,,
Fukushima,2020-04-12,3,0,,,38,541,,
Ibaraki,2020-04-12,9,3,,,109,2221,,
Tochigi,2020-04-12,5,0,,,35,1003,,
Gunma,2020-04-12,5,2,,,90,1495,,
Saitama,2020-04-12,26,5,,,386,2216,,
Chiba,2020-04-12,39,4,,,455,1743,,
Tokyo,2020-04-12,57,19,,,2080,5660,,
Kanagawa,2020-04-12,44,7,,,478,2604,,
Niigata,2020-04-12,24,0,,,42,1587,,
Toyama,2020-04-12,0,0,,,30,646,,
Ishikawa,2020-04-12,5,0,,,113,562,,
Fukui,2020-04-12,6,2,,,88,515,,
Yamanashi,2020-04-12,2,0,,,35,1013,,
Nagano,2020-04-12,3,0,,,29,899,,
Gifu,2020-04-12,5,1,,,105,1185,,
Shizuoka,2020-04-12,3,0,,,41,1426,,
Aichi,2020-04-12,63,22,,,319,3990,,
Mie,2020-04-12,9,0,,,17,906,,
Shiga,2020-04-12,3,0,,,38,487,,
Kyoto,2020-04-12,33,3,,,193,1968,,
Osaka,2020-04-12,127,6,,,812,2362,,
Hyogo,2020-04-12,59,13,,,375,3830,,
Nara,2020-04-12,8,0,,,41,539,,
Wakayama,2020-04-12,17,1,,,34,1989,,
Tottori,2020-04-12,0,0,,,1,299,,
Shimane,2020-04-12,0,0,,,7,205,,
Okayama,2020-04-12,1,0,,,16,595,,
Hiroshima,2020-04-12,3,0,,,56,1754,,
Yamaguchi,2020-04-12,3,0,,,23,557,,
Tokushima,2020-04-12,3,0,,,3,228,,
Kagawa,2020-04-12,1,0,,,8,480,,
Ehime,2020-04-12,4,2,,,30,545,,
Kochi,2020-04-12,14,0,,,60,814,,
Fukuoka,2020-04-12,7,0,,,362,4137,,
Saga,2020-04-12,1,0,,,13,367,,
Nagasaki,2020-04-12,2,0,,,14,933,,
Kumamoto,2020-04-12,4,1,,,28,1728,,
Oita,2020-04-12,10,0,,,42,2070,,
Miyazaki,2020-04-12,3,0,,,17,612,,
Kagoshima,2020-04-12,0,0,,,4,523,,
Okinawa,2020-04-12,3,0,,,66,680,,
Hokkaido,2020-04-13,161,11,,,272,3257,,
Aomori,2020-04-13,4,0,,,22,391,,
Iwate,2020-04-13,0,0,,,0,155,,
Miyagi,2020-04-13,5,0,,,54,816,,
Akita,2020-04-13,5,0,,,15,555,,
Yamagata,2020-04-13,0,0,,,35,932,,
Fukushima,2020-04-13,3,0,,,38,701,,
Ibaraki,2020-04-13,10,3,,,110,2501,,
Tochigi,2020-04-13,7,0,,,36,1082,,
Gunma,2020-04-13,5,2,,,91,1717,,
Saitama,2020-04-13,26,5,,,414,2415,,
Chiba,2020-04-13,39,4,,,474,2329,,
Tokyo,2020-04-13,57,19,,,2171,6327,,
Kanagawa,2020-04-13,55,12,,,572,3116,,
Niigata,2020-04-13,25,0,,,42,1670,,
Toyama,2020-04-13,1,0,,,49,910,,
Ishikawa,2020-04-13,5,0,,,121,718,,
Fukui,2020-04-13,7,2,,,92,710,,
Yamanashi,2020-04-13,2,0,,,35,1157,,
Nagano,2020-04-13,4,0,,,34,1068,,
Gifu,2020-04-13,5,1,,,112,1442,,
Shizuoka,2020-04-13,3,0,,,46,1606,,
Aichi,2020-04-13,63,23,,,328,4201,,
Mie,2020-04-13,11,0,,,17,995,,
Shiga,2020-04-13,5,0,,,40,552,,
Kyoto,2020-04-13,33,3,,,205,2225,,
Osaka,2020-04-13,147,6,,,836,3073,,
Hyogo,2020-04-13,59,14,,,384,4250,,
Nara,2020-04-13,8,0,,,44,618,,
Wakayama,2020-04-13,17,1,,,34,2092,,
Tottori,2020-04-13,0,0,,,1,378,,
Shimane,2020-04-13,0,0,,,8,366,,
Okayama,2020-04-13,1,0,,,16,669,,
Hiroshima,2020-04-13,3,0,,,57,2091,,
Yamaguchi,2020-04-13,5,0,,,24,657,,
Tokushima,2020-04-13,3,0,,,3,236,,
Kagawa,2020-04-13,1,0,,,16,546,,
Ehime,2020-04-13,4,2,,,37,631,,
Kochi,2020-04-13,16,0,,,60,913,,
Fukuoka,2020-04-13,7,0,,,373,5051,,
Saga,2020-04-13,1,0,,,13,405,,
Nagasaki,2020-04-13,2,0,,,14,1106,,
Kumamoto,2020-04-13,5,1,,,28,1877,,
Oita,2020-04-13,10,0,,,43,2161,,
Miyazaki,2020-04-13,3,0,,,17,703,,
Kagoshima,2020-04-13,0,0,,,4,614,,
Okinawa,2020-04-13,3,0,,,72,816,,
Hokkaido,2020-04-14,161,12,,,279,3297,,
Aomori,2020-04-14,5,0,,,22,410,,
Iwate,2020-04-14,0,0,,,0,170,,
Miyagi,2020-04-14,5,0,,,64,852,,
Akita,2020-04-14,5,0,,,16,603,,
Yamagata,2020-04-14,0,0,,,39,1055,,
Fukushima,2020-04-14,3,0,,,39,706,,
Ibaraki,2020-04-14,10,3,,,116,2719,,
Tochigi,2020-04-14,7,0,,,38,1121,,
Gunma,2020-04-14,5,2,,,97,1787,,
Saitama,2020-04-14,27,7,,,433,3056,,
Chiba,2020-04-14,45,5,,,490,2447,,
Tokyo,2020-04-14,59,19,,,2332,6563,,
Kanagawa,2020-04-14,55,14,,,594,3306,,
Niigata,2020-04-14,25,0,,,45,1787,,
Toyama,2020-04-14,1,0,,,54,956,,
Ishikawa,2020-04-14,5,1,,,131,778,,
Fukui,2020-04-14,8,2,,,92,765,,
Yamanashi,2020-04-14,2,0,,,36,1205,,
Nagano,2020-04-14,4,0,,,35,1106,,
Gifu,2020-04-14,6,1,,,127,1519,,
Shizuoka,2020-04-14,3,0,,,46,1647,,
Aichi,2020-04-14,63,24,,,338,4250,,
Mie,2020-04-14,11,0,,,19,1002,,
Shiga,2020-04-14,5,0,,,51,599,,
Kyoto,2020-04-14,34,3,,,210,2275,,
Osaka,2020-04-14,152,7,,,895,3140,,
Hyogo,2020-04-14,61,15,,,403,4403,,
Nara,2020-04-14,8,0,,,47,641,,
Wakayama,2020-04-14,17,1,,,35,2119,,
Tottori,2020-04-14,0,0,,,1,432,,
Shimane,2020-04-14,0,0,,,10,442,,
Okayama,2020-04-14,1,0,,,16,688,,
Hiroshima,2020-04-14,3,0,,,66,2276,,
Yamaguchi,2020-04-14,5,0,,,25,738,,
Tokushima,2020-04-14,3,0,,,3,248,,
Kagawa,2020-04-14,1,0,,,20,637,,
Ehime,2020-04-14,4,2,,,39,653,,
Kochi,2020-04-14,16,0,,,60,935,,
Fukuoka,2020-04-14,32,0,,,403,5195,,
Saga,2020-04-14,1,0,,,15,422,,
Nagasaki,2020-04-14,2,0,,,14,1142,,
Kumamoto,2020-04-14,5,1,,,29,1944,,
Oita,2020-04-14,13,0,,,43,2172,,
Miyazaki,2020-04-14,3,0,,,17,733,,
Kagoshima,2020-04-14,0,0,,,4,628,,
Okinawa,2020-04-14,3,0,,,76,856,,
Hokkaido,2020-04-15,161,13,,,302,3473,,
Aomori,2020-04-15,5,0,,,22,433,,
Iwate,2020-04-15,0,0,,,0,181,,
Miyagi,2020-04-15,6,0,,,65,992,,
Akita,2020-04-15,5,0,,,16,666,,
Yamagata,2020-04-15,0,0,,,45,1118,,
Fukushima,2020-04-15,3,0,,,40,786,,
Ibaraki,2020-04-15,10,5,,,119,2883,,
Tochigi,2020-04-15,7,0,,,39,1167,,
Gunma,2020-04-15,5,4,,,107,1866,,
Saitama,2020-04-15,28,7,,,479,3635,,
Chiba,2020-04-15,45,5,,,525,2688,,
Tokyo,2020-04-15,59,19,,,2457,6654,,
Kanagawa,2020-04-15,55,15,,,614,3476,,
Niigata,2020-04-15,25,0,,,46,1874,,
Toyama,2020-04-15,1,0,,,54,1021,,
Ishikawa,2020-04-15,5,4,,,140,826,,
Fukui,2020-04-15,8,2,,,100,865,,
Yamanashi,2020-04-15,2,0,,,39,1295,,
Nagano,2020-04-15,4,0,,,36,1159,,
Gifu,2020-04-15,12,1,,,128,1626,,
Shizuoka,2020-04-15,3,0,,,47,1790,,
Aichi,2020-04-15,66,24,,,350,4784,,
Mie,2020-04-15,11,0,,,20,1039,,
Shiga,2020-04-15,5,0,,,52,636,,
Kyoto,2020-04-15,37,3,,,215,2362,,
Osaka,2020-04-15,155,8,,,969,3504,,
Hyogo,2020-04-15,61,15,,,423,4640,,
Nara,2020-04-15,9,1,,,53,676,,
Wakayama,2020-04-15,19,1,,,37,2197,,
Tottori,2020-04-15,0,0,,,1,446,,
Shimane,2020-04-15,0,0,,,13,517,,
Okayama,2020-04-15,1,0,,,16,722,,
Hiroshima,2020-04-15,3,0,,,67,2334,,
Yamaguchi,2020-04-15,5,0,,,28,773,,
Tokushima,2020-04-15,3,0,,,3,259,,
Kagawa,2020-04-15,1,0,,,20,721,,
Ehime,2020-04-15,4,2,,,40,680,,
Kochi,2020-04-15,16,0,,,62,1007,,
Fukuoka,2020-04-15,45,6,,,433,5667,,
Saga,2020-04-15,1,0,,,17,451,,
Nagasaki,2020-04-15,2,0,,,15,1221,,
Kumamoto,2020-04-15,5,1,,,31,2056,,
Oita,2020-04-15,13,0,,,50,2239,,
Miyazaki,2020-04-15,4,0,,,17,790,,
Kagoshima,2020-04-15,0,0,,,4,699,,
Okinawa,2020-04-15,3,0,,,86,931,,
Hokkaido,2020-04-16,163,14,,,336,3625,,
Aomori,2020-04-16,5,0,,,22,447,,
Iwate,2020-04-16,0,0,,,0,205,,
Miyagi,2020-04-16,8,0,,,75,1109,,
Akita,2020-04-16,5,0,,,16,688,,
Yamagata,2020-04-16,0,0,,,50,1276,,
Fukushima,2020-04-16,3,0,,,49,924,,
Ibaraki,2020-04-16,10,5,,,123,2883,,
Tochigi,2020-04-16,8,0,,,42,1233,,
Gunma,2020-04-16,5,4,,,109,1924,,
Saitama,2020-04-16,32,9,,,535,3836,,
Chiba,2020-04-16,51,6,,,539,3006,,
Tokyo,2020-04-16,59,19,,,2606,6814,,
Kanagawa,2020-04-16,55,16,,,673,3682,,
Niigata,2020-04-16,29,0,,,47,1910,,
Toyama,2020-04-16,2,0,,,65,1177,,
Ishikawa,2020-04-16,5,4,,,146,903,,
Fukui,2020-04-16,8,2,,,103,918,,
Yamanashi,2020-04-16,9,0,,,43,1367,,
Nagano,2020-04-16,4,0,,,45,1219,,
Gifu,2020-04-16,16,1,,,132,1727,,
Shizuoka,2020-04-16,5,0,,,48,1867,,
Aichi,2020-04-16,66,24,,,364,5008,,
Mie,2020-04-16,11,1,,,26,1092,,
Shiga,2020-04-16,8,1,,,57,715,,
Kyoto,2020-04-16,39,3,,,225,2464,,
Osaka,2020-04-16,175,8,,,1021,3903,,
Hyogo,2020-04-16,63,17,,,453,4851,,
Nara,2020-04-16,9,1,,,54,733,,
Wakayama,2020-04-16,19,1,,,38,2239,,
Tottori,2020-04-16,0,0,,,1,477,,
Shimane,2020-04-16,0,0,,,14,558,,
Okayama,2020-04-16,1,0,,,18,748,,
Hiroshima,2020-04-16,3,0,,,118,2733,,
Yamaguchi,2020-04-16,5,0,,,29,885,,
Tokushima,2020-04-16,3,0,,,3,277,,
Kagawa,2020-04-16,1,0,,,21,833,,
Ehime,2020-04-16,4,2,,,41,708,,
Kochi,2020-04-16,18,1,,,62,1039,,
Fukuoka,2020-04-16,52,6,,,459,6110,,
Saga,2020-04-16,1,0,,,15,489,,
Nagasaki,2020-04-16,2,0,,,16,1258,,
Kumamoto,2020-04-16,5,1,,,31,2131,,
Oita,2020-04-16,17,1,,,50,2325,,
Miyazaki,2020-04-16,4,0,,,17,802,,
Kagoshima,2020-04-16,1,0,,,4,657,,
Okinawa,2020-04-16,6,1,,,86,1025,,
Hokkaido,2020-04-17,171,14,,,370,3735,,
Aomori,2020-04-17,5,0,,,22,468,,
Iwate,2020-04-17,0,0,,,0,212,,
Miyagi,2020-04-17,8,0,,,79,1203,,
Akita,2020-04-17,5,0,,,16,706,,
Yamagata,2020-04-17,0,0,,,58,1415,,
Fukushima,2020-04-17,3,0,,,52,924,,
Ibaraki,2020-04-17,11,5,,,131,3159,,
Tochigi,2020-04-17,8,0,,,44,1328,,
Gunma,2020-04-17,5,4,,,114,1959,,
Saitama,2020-04-17,32,9,,,575,3836,,
Chiba,2020-04-17,54,6,,,609,3286,,
Tokyo,2020-04-17,59,19,,,2807,7244,,
Kanagawa,2020-04-17,54,17,,,710,3888,,
Niigata,2020-04-17,29,0,,,53,2024,,
Toyama,2020-04-17,2,0,,,69,1274,,
Ishikawa,2020-04-17,5,4,,,160,977,,
Fukui,2020-04-17,8,2,,,104,955,,
Yamanashi,2020-04-17,9,0,,,46,1435,,
Nagano,2020-04-17,4,0,,,47,1271,,
Gifu,2020-04-17,16,2,,,136,1892,,
Shizuoka,2020-04-17,5,0,,,51,2011,,
Aichi,2020-04-17,66,24,,,374,5008,,
Mie,2020-04-17,11,1,,,32,1144,,
Shiga,2020-04-17,10,1,,,68,760,,
Kyoto,2020-04-17,53,3,,,235,2565,,
Osaka,2020-04-17,182,9,,,1076,4373,,
Hyogo,2020-04-17,63,17,,,480,5060,,
Nara,2020-04-17,12,1,,,56,777,,
Wakayama,2020-04-17,19,1,,,39,2263,,
Tottori,2020-04-17,0,0,,,1,543,,
Shimane,2020-04-17,0,0,,,15,606,,
Okayama,2020-04-17,1,0,,,18,775,,
Hiroshima,2020-04-17,8,0,,,124,2733,,
Yamaguchi,2020-04-17,5,0,,,30,977,,
Tokushima,2020-04-17,3,0,,,3,298,,
Kagawa,2020-04-17,1,0,,,24,967,,
Ehime,2020-04-17,4,2,,,41,708,,
Kochi,2020-04-17,18,1,,,63,1039,,
Fukuoka,2020-04-17,66,9,,,476,6414,,
Saga,2020-04-17,1,0,,,16,513,,
Nagasaki,2020-04-17,2,0,,,17,1325,,
Kumamoto,2020-04-17,6,1,,,35,2204,,
Oita,2020-04-17,17,1,,,54,2399,,
Miyazaki,2020-04-17,4,0,,,17,841,,
Kagoshima,2020-04-17,1,0,,,6,732,,
Okinawa,2020-04-17,6,1,,,101,1030,,
Hokkaido,2020-04-18,171,16,,,407,3768,,
Aomori,2020-04-18,6,0,,,22,483,,
Iwate,2020-04-18,0,0,,,0,212,,
Miyagi,2020-04-18,8,0,,,83,1203,,
Akita,2020-04-18,5,0,,,16,706,,
Yamagata,2020-04-18,10,0,,,60,1415,,
Fukushima,2020-04-18,3,0,,,60,924,,
Ibaraki,2020-04-18,14,5,,,135,3159,,
Tochigi,2020-04-18,8,0,,,44,1330,,
Gunma,2020-04-18,5,4,,,120,1970,,
Saitama,2020-04-18,32,9,,,610,3836,,
Chiba,2020-04-18,67,7,,,643,3308,,
Tokyo,2020-04-18,59,19,,,2988,7244,,
Kanagawa,2020-04-18,68,16,,,754,3911,,
Niigata,2020-04-18,29,0,,,56,2024,,
Toyama,2020-04-18,2,0,,,79,1274,,
Ishikawa,2020-04-18,5,4,,,173,977,,
Fukui,2020-04-18,8,4,,,106,955,,
Yamanashi,2020-04-18,9,0,,,48,1435,,
Nagano,2020-04-18,4,0,,,47,1273,,
Gifu,2020-04-18,16,2,,,137,1892,,
Shizuoka,2020-04-18,8,0,,,50,2011,,
Aichi,2020-04-18,66,24,,,391,5008,,
Mie,2020-04-18,11,1,,,35,1144,,
Shiga,2020-04-18,10,1,,,70,760,,
Kyoto,2020-04-18,53,3,,,242,2565,,
Osaka,2020-04-18,220,10,,,1164,4383,,
Hyogo,2020-04-18,65,17,,,502,5070,,
Nara,2020-04-18,12,1,,,60,777,,
Wakayama,2020-04-18,19,1,,,40,2274,,
Tottori,2020-04-18,0,0,,,3,543,,
Shimane,2020-04-18,0,0,,,15,649,,
Okayama,2020-04-18,3,0,,,18,775,,
Hiroshima,2020-04-18,11,0,,,129,2764,,
Yamaguchi,2020-04-18,5,0,,,30,1027,,
Tokushima,2020-04-18,3,0,,,3,298,,
Kagawa,2020-04-18,1,0,,,24,967,,
Ehime,2020-04-18,5,3,,,44,708,,
Kochi,2020-04-18,18,1,,,64,1084,,
Fukuoka,2020-04-18,66,10,,,500,6442,,
Saga,2020-04-18,1,0,,,16,583,,
Nagasaki,2020-04-18,2,0,,,17,1325,,
Kumamoto,2020-04-18,6,1,,,35,2208,,
Oita,2020-04-18,17,1,,,54,2426,,
Miyazaki,2020-04-18,4,0,,,17,841,,
Kagoshima,2020-04-18,1,0,,,7,734,,
Okinawa,2020-04-18,6,1,,,101,1030,,
Hokkaido,2020-04-19,171,18,,,434,3987,,
Aomori,2020-04-19,6,0,,,22,494,,
Iwate,2020-04-19,0,0,,,0,234,,
Miyagi,2020-04-19,8,0,,,83,1203,,
Akita,2020-04-19,5,0,,,16,706,,
Yamagata,2020-04-19,10,0,,,61,1415,,
Fukushima,2020-04-19,3,0,,,62,1075,,
Ibaraki,2020-04-19,16,5,,,139,3159,,
Tochigi,2020-04-19,8,0,,,46,1330,,
Gunma,2020-04-19,14,5,,,122,1973,,
Saitama,2020-04-19,32,9,,,642,4618,,
Chiba,2020-04-19,71,8,,,661,3411,,
Tokyo,2020-04-19,59,19,,,3095,7726,,
Kanagawa,2020-04-19,73,17,,,784,3912,,
Niigata,2020-04-19,29,0,,,56,2024,,
Toyama,2020-04-19,4,1,,,92,1274,,
Ishikawa,2020-04-19,5,4,,,178,977,,
Fukui,2020-04-19,23,4,,,112,955,,
Yamanashi,2020-04-19,9,0,,,49,1435,,
Nagano,2020-04-19,4,0,,,52,1273,,
Gifu,2020-04-19,16,3,,,139,1892,,
Shizuoka,2020-04-19,8,0,,,52,2040,,
Aichi,2020-04-19,66,25,,,401,5175,,
Mie,2020-04-19,11,1,,,36,1144,,
Shiga,2020-04-19,10,1,,,71,760,,
Kyoto,2020-04-19,70,3,,,251,2565,,
Osaka,2020-04-19,233,12,,,1212,4535,,
Hyogo,2020-04-19,65,17,,,513,5280,,
Nara,2020-04-19,14,1,,,62,777,,
Wakayama,2020-04-19,20,1,,,46,2312,,
Tottori,2020-04-19,0,0,,,3,543,,
Shimane,2020-04-19,0,0,,,16,680,,
Okayama,2020-04-19,3,0,,,19,887,,
Hiroshima,2020-04-19,11,0,,,132,3010,,
Yamaguchi,2020-04-19,11,0,,,30,1049,,
Tokushima,2020-04-19,3,0,,,3,336,,
Kagawa,2020-04-19,1,0,,,25,967,,
Ehime,2020-04-19,8,3,,,45,708,,
Kochi,2020-04-19,18,1,,,68,1131,,
Fukuoka,2020-04-19,66,10,,,516,6447,,
Saga,2020-04-19,1,0,,,17,594,,
Nagasaki,2020-04-19,2,0,,,17,1325,,
Kumamoto,2020-04-19,6,1,,,39,2274,,
Oita,2020-04-19,18,1,,,54,2426,,
Miyazaki,2020-04-19,4,0,,,17,841,,
Kagoshima,2020-04-19,1,0,,,8,734,,
Okinawa,2020-04-19,6,1,,,110,1213,,
Hokkaido,2020-04-20,171,18,,,451,4245,,
Aomori,2020-04-20,9,0,,,22,474,,
Iwate,2020-04-20,0,0,,,0,236,,
Miyagi,2020-04-20,8,0,,,84,1369,,
Akita,2020-04-20,5,0,,,16,736,,
Yamagata,2020-04-20,15,0,,,64,1597,,
Fukushima,2020-04-20,14,0,,,64,1131,,
Ibaraki,2020-04-20,16,6,,,143,3343,,
Tochigi,2020-04-20,8,0,,,49,1481,,
Gunma,2020-04-20,14,5,,,124,2103,,
Saitama,2020-04-20,32,9,,,662,4732,,
Chiba,2020-04-20,77,8,,,683,3803,,
Tokyo,2020-04-20,59,19,,,3197,8198,,
Kanagawa,2020-04-20,88,19,,,802,3912,,
Niigata,2020-04-20,29,0,,,56,2107,,
Toyama,2020-04-20,8,2,,,114,1454,,
Ishikawa,2020-04-20,14,4,,,180,1115,,
Fukui,2020-04-20,26,4,,,113,1054,,
Yamanashi,2020-04-20,9,0,,,49,1653,,
Nagano,2020-04-20,6,0,,,52,1401,,
Gifu,2020-04-20,24,3,,,139,2119,,
Shizuoka,2020-04-20,8,0,,,52,2089,,
Aichi,2020-04-20,66,27,,,406,5535,,
Mie,2020-04-20,11,1,,,39,1397,,
Shiga,2020-04-20,13,1,,,72,776,,
Kyoto,2020-04-20,77,5,,,259,2811,,
Osaka,2020-04-20,233,13,,,1297,4938,,
Hyogo,2020-04-20,65,17,,,524,5610,,
Nara,2020-04-20,14,1,,,64,919,,
Wakayama,2020-04-20,20,1,,,46,2339,,
Tottori,2020-04-20,0,0,,,3,711,,
Shimane,2020-04-20,0,0,,,16,681,,
Okayama,2020-04-20,4,0,,,19,930,,
Hiroshima,2020-04-20,12,0,,,137,3010,,
Yamaguchi,2020-04-20,15,0,,,30,1119,,
Tokushima,2020-04-20,3,0,,,3,336,,
Kagawa,2020-04-20,1,0,,,26,967,,
Ehime,2020-04-20,9,3,,,46,844,,
Kochi,2020-04-20,22,2,,,69,1167,,
Fukuoka,2020-04-20,87,13,,,524,7263,,
Saga,2020-04-20,1,0,,,17,587,,
Nagasaki,2020-04-20,4,0,,,18,1461,,
Kumamoto,2020-04-20,7,1,,,40,2350,,
Oita,2020-04-20,19,1,,,55,2657,,
Miyazaki,2020-04-20,4,0,,,17,925,,
Kagoshima,2020-04-20,1,0,,,10,841,,
Okinawa,2020-04-20,11,3,,,121,1292,,
Hokkaido,2020-04-21,179,21,,,473,4554,,
Aomori,2020-04-21,10,0,,,22,487,,
Iwate,2020-04-21,0,0,,,0,242,,
Miyagi,2020-04-21,14,0,,,84,1387,,
Akita,2020-04-21,5,0,,,16,753,,
Yamagata,2020-04-21,17,0,,,64,1657,,
